transaction_id,date,category,amount,month,day_of_week,type
73,3/2/2024,Dining Out,11.74,2024-03,Saturday,Expense
66,3/3/2024,Groceries,80.04,2024-03,Sunday,Expense
56,3/3/2024,Utilities,129.48,2024-03,Sunday,Expense
76,3/3/2024,Transportation,52.2,2024-03,Sunday,Expense
55,3/4/2024,Rent,1450,2024-03,Monday,Expense
86,3/5/2024,Shopping,81.26,2024-03,Tuesday,Expense
84,3/5/2024,Shopping,73.95,2024-03,Tuesday,Expense
69,3/6/2024,Dining Out,43.8,2024-03,Wednesday,Expense
60,3/7/2024,Groceries,114.26,2024-03,Thursday,Expense
77,3/7/2024,Transportation,21.54,2024-03,Thursday,Expense
71,3/8/2024,Dining Out,36.49,2024-03,Friday,Expense
87,3/8/2024,Health/Fitness,73.1,2024-03,Friday,Expense
74,3/8/2024,Dining Out,36.03,2024-03,Friday,Expense
85,3/9/2024,Shopping,7.35,2024-03,Saturday,Expense
62,3/9/2024,Groceries,71.03,2024-03,Saturday,Expense
75,3/9/2024,Transportation,47.1,2024-03,Saturday,Expense
756,3/11/2024,Income,2600,2024-03,Monday,Income
58,3/12/2024,Groceries,48.95,2024-03,Tuesday,Expense
59,3/12/2024,Groceries,66.2,2024-03,Tuesday,Expense
81,3/13/2024,Shopping,66.72,2024-03,Wednesday,Expense
83,3/15/2024,Shopping,129.63,2024-03,Friday,Expense
80,3/16/2024,Entertainment,53.81,2024-03,Saturday,Expense
89,3/18/2024,Travel,126.47,2024-03,Monday,Expense
78,3/19/2024,Transportation,43.41,2024-03,Tuesday,Expense
67,3/20/2024,Groceries,80.82,2024-03,Wednesday,Expense
70,3/21/2024,Dining Out,26.51,2024-03,Thursday,Expense
68,3/21/2024,Groceries,46.81,2024-03,Thursday,Expense
82,3/21/2024,Shopping,26.43,2024-03,Thursday,Expense
65,3/21/2024,Groceries,87.86,2024-03,Thursday,Expense
64,3/22/2024,Groceries,41.63,2024-03,Friday,Expense
61,3/22/2024,Groceries,61.15,2024-03,Friday,Expense
79,3/23/2024,Transportation,59.61,2024-03,Saturday,Expense
63,3/23/2024,Groceries,64.31,2024-03,Saturday,Expense
88,3/24/2024,Health/Fitness,88.05,2024-03,Sunday,Expense
757,3/25/2024,Income,2600,2024-03,Monday,Income
72,3/27/2024,Dining Out,27.45,2024-03,Wednesday,Expense
111,4/1/2024,Dining Out,48.58,2024-04,Monday,Expense
122,4/1/2024,Transportation,56.33,2024-04,Monday,Expense
103,4/2/2024,Groceries,79.2,2024-04,Tuesday,Expense
91,4/3/2024,Utilities,105.75,2024-04,Wednesday,Expense
101,4/3/2024,Groceries,46.48,2024-04,Wednesday,Expense
112,4/4/2024,Dining Out,25.94,2024-04,Thursday,Expense
117,4/4/2024,Transportation,74.72,2024-04,Thursday,Expense
98,4/5/2024,Groceries,80.54,2024-04,Friday,Expense
90,4/5/2024,Rent,1450,2024-04,Friday,Expense
92,4/5/2024,Subscriptions,41.14,2024-04,Friday,Expense
120,4/6/2024,Transportation,15.81,2024-04,Saturday,Expense
105,4/6/2024,Dining Out,22.87,2024-04,Saturday,Expense
758,4/8/2024,Income,2600,2024-04,Monday,Income
97,4/8/2024,Groceries,55.95,2024-04,Monday,Expense
128,4/10/2024,Shopping,23.3,2024-04,Wednesday,Expense
118,4/10/2024,Transportation,11.99,2024-04,Wednesday,Expense
116,4/11/2024,Transportation,41.23,2024-04,Thursday,Expense
96,4/12/2024,Groceries,79.81,2024-04,Friday,Expense
95,4/13/2024,Groceries,62.52,2024-04,Saturday,Expense
93,4/14/2024,Groceries,65.84,2024-04,Sunday,Expense
119,4/14/2024,Transportation,50.29,2024-04,Sunday,Expense
109,4/15/2024,Dining Out,20.61,2024-04,Monday,Expense
121,4/15/2024,Transportation,32.92,2024-04,Monday,Expense
100,4/16/2024,Groceries,58.16,2024-04,Tuesday,Expense
131,4/17/2024,Health/Fitness,75.97,2024-04,Wednesday,Expense
125,4/17/2024,Entertainment,16.97,2024-04,Wednesday,Expense
99,4/17/2024,Groceries,85.91,2024-04,Wednesday,Expense
124,4/17/2024,Entertainment,30.91,2024-04,Wednesday,Expense
110,4/18/2024,Dining Out,55.73,2024-04,Thursday,Expense
113,4/18/2024,Dining Out,39.57,2024-04,Thursday,Expense
94,4/19/2024,Groceries,62.25,2024-04,Friday,Expense
108,4/20/2024,Dining Out,50.99,2024-04,Saturday,Expense
107,4/20/2024,Dining Out,35.77,2024-04,Saturday,Expense
127,4/21/2024,Shopping,89.1,2024-04,Sunday,Expense
115,4/21/2024,Transportation,32.72,2024-04,Sunday,Expense
130,4/21/2024,Shopping,75.2,2024-04,Sunday,Expense
759,4/22/2024,Income,2600,2024-04,Monday,Income
123,4/24/2024,Transportation,40.96,2024-04,Wednesday,Expense
114,4/25/2024,Transportation,43.86,2024-04,Thursday,Expense
102,4/25/2024,Groceries,54.74,2024-04,Thursday,Expense
106,4/26/2024,Dining Out,50.86,2024-04,Friday,Expense
129,4/27/2024,Shopping,50.41,2024-04,Saturday,Expense
104,4/28/2024,Dining Out,36.39,2024-04,Sunday,Expense
126,4/28/2024,Shopping,28.53,2024-04,Sunday,Expense
141,5/1/2024,Groceries,62.9,2024-05,Wednesday,Expense
133,5/2/2024,Utilities,99.69,2024-05,Thursday,Expense
134,5/2/2024,Subscriptions,49.73,2024-05,Thursday,Expense
170,5/4/2024,Travel,364.83,2024-05,Saturday,Expense
151,5/5/2024,Dining Out,6.54,2024-05,Sunday,Expense
132,5/5/2024,Rent,1450,2024-05,Sunday,Expense
152,5/5/2024,Transportation,59.21,2024-05,Sunday,Expense
760,5/6/2024,Income,2600,2024-05,Monday,Income
156,5/6/2024,Transportation,32.6,2024-05,Monday,Expense
137,5/6/2024,Groceries,102.44,2024-05,Monday,Expense
161,5/7/2024,Entertainment,44.95,2024-05,Tuesday,Expense
157,5/9/2024,Transportation,31.16,2024-05,Thursday,Expense
143,5/11/2024,Groceries,39,2024-05,Saturday,Expense
166,5/12/2024,Shopping,107.22,2024-05,Sunday,Expense
144,5/12/2024,Dining Out,28.02,2024-05,Sunday,Expense
135,5/12/2024,Groceries,90.33,2024-05,Sunday,Expense
169,5/15/2024,Health/Fitness,40.69,2024-05,Wednesday,Expense
167,5/15/2024,Shopping,55.84,2024-05,Wednesday,Expense
154,5/16/2024,Transportation,30.66,2024-05,Thursday,Expense
147,5/16/2024,Dining Out,31.96,2024-05,Thursday,Expense
158,5/17/2024,Transportation,52.74,2024-05,Friday,Expense
168,5/17/2024,Shopping,82.28,2024-05,Friday,Expense
140,5/17/2024,Groceries,39.1,2024-05,Friday,Expense
149,5/18/2024,Dining Out,44.71,2024-05,Saturday,Expense
155,5/18/2024,Transportation,36.88,2024-05,Saturday,Expense
138,5/18/2024,Groceries,64.61,2024-05,Saturday,Expense
146,5/19/2024,Dining Out,41.07,2024-05,Sunday,Expense
160,5/20/2024,Entertainment,16.14,2024-05,Monday,Expense
142,5/20/2024,Groceries,25.1,2024-05,Monday,Expense
761,5/20/2024,Income,2600,2024-05,Monday,Income
165,5/21/2024,Shopping,87.54,2024-05,Tuesday,Expense
153,5/22/2024,Transportation,44.21,2024-05,Wednesday,Expense
164,5/22/2024,Shopping,88.02,2024-05,Wednesday,Expense
163,5/24/2024,Entertainment,29.58,2024-05,Friday,Expense
162,5/25/2024,Entertainment,42.21,2024-05,Saturday,Expense
148,5/25/2024,Dining Out,35.91,2024-05,Saturday,Expense
150,5/25/2024,Dining Out,36.89,2024-05,Saturday,Expense
136,5/25/2024,Groceries,60.25,2024-05,Saturday,Expense
139,5/25/2024,Groceries,46.35,2024-05,Saturday,Expense
145,5/27/2024,Dining Out,35.88,2024-05,Monday,Expense
159,5/28/2024,Transportation,45.36,2024-05,Tuesday,Expense
175,6/1/2024,Groceries,100.41,2024-06,Saturday,Expense
173,6/1/2024,Subscriptions,47.98,2024-06,Saturday,Expense
181,6/1/2024,Groceries,69.08,2024-06,Saturday,Expense
171,6/2/2024,Rent,1450,2024-06,Sunday,Expense
172,6/2/2024,Utilities,142.42,2024-06,Sunday,Expense
762,6/3/2024,Income,2600,2024-06,Monday,Income
184,6/3/2024,Dining Out,27.84,2024-06,Monday,Expense
182,6/3/2024,Groceries,76.18,2024-06,Monday,Expense
189,6/5/2024,Entertainment,55.42,2024-06,Wednesday,Expense
187,6/7/2024,Transportation,29.76,2024-06,Friday,Expense
193,6/8/2024,Shopping,73.95,2024-06,Saturday,Expense
180,6/8/2024,Groceries,56.33,2024-06,Saturday,Expense
178,6/8/2024,Groceries,77.28,2024-06,Saturday,Expense
174,6/11/2024,Groceries,23.2,2024-06,Tuesday,Expense
197,6/14/2024,Health/Fitness,46.67,2024-06,Friday,Expense
195,6/16/2024,Health/Fitness,86.01,2024-06,Sunday,Expense
186,6/16/2024,Transportation,63.55,2024-06,Sunday,Expense
192,6/16/2024,Shopping,94.34,2024-06,Sunday,Expense
763,6/17/2024,Income,2600,2024-06,Monday,Income
177,6/18/2024,Groceries,81.08,2024-06,Tuesday,Expense
188,6/18/2024,Transportation,39.28,2024-06,Tuesday,Expense
179,6/19/2024,Groceries,92.16,2024-06,Wednesday,Expense
176,6/19/2024,Groceries,58.82,2024-06,Wednesday,Expense
191,6/19/2024,Shopping,57.79,2024-06,Wednesday,Expense
190,6/19/2024,Shopping,85.83,2024-06,Wednesday,Expense
185,6/22/2024,Dining Out,5,2024-06,Saturday,Expense
183,6/23/2024,Groceries,82.45,2024-06,Sunday,Expense
196,6/26/2024,Health/Fitness,104.48,2024-06,Wednesday,Expense
194,6/26/2024,Shopping,57.17,2024-06,Wednesday,Expense
764,7/1/2024,Income,2600,2024-07,Monday,Income
199,7/1/2024,Utilities,119.01,2024-07,Monday,Expense
229,7/1/2024,Shopping,5.75,2024-07,Monday,Expense
200,7/1/2024,Subscriptions,42,2024-07,Monday,Expense
209,7/2/2024,Groceries,38.08,2024-07,Tuesday,Expense
225,7/2/2024,Transportation,69.61,2024-07,Tuesday,Expense
198,7/2/2024,Rent,1450,2024-07,Tuesday,Expense
220,7/3/2024,Dining Out,67.01,2024-07,Wednesday,Expense
230,7/3/2024,Shopping,40.86,2024-07,Wednesday,Expense
224,7/4/2024,Transportation,57.13,2024-07,Thursday,Expense
234,7/6/2024,Health/Fitness,5.75,2024-07,Saturday,Expense
217,7/6/2024,Dining Out,62.29,2024-07,Saturday,Expense
214,7/7/2024,Dining Out,52.53,2024-07,Sunday,Expense
233,7/8/2024,Health/Fitness,68.91,2024-07,Monday,Expense
218,7/9/2024,Dining Out,45.98,2024-07,Tuesday,Expense
203,7/12/2024,Groceries,101.88,2024-07,Friday,Expense
202,7/14/2024,Groceries,116.87,2024-07,Sunday,Expense
204,7/14/2024,Groceries,63.96,2024-07,Sunday,Expense
216,7/14/2024,Dining Out,13.79,2024-07,Sunday,Expense
205,7/14/2024,Groceries,35.35,2024-07,Sunday,Expense
206,7/15/2024,Groceries,105.89,2024-07,Monday,Expense
765,7/15/2024,Income,2600,2024-07,Monday,Income
215,7/18/2024,Dining Out,20.85,2024-07,Thursday,Expense
227,7/18/2024,Transportation,57.83,2024-07,Thursday,Expense
223,7/18/2024,Transportation,47.16,2024-07,Thursday,Expense
211,7/21/2024,Groceries,74.87,2024-07,Sunday,Expense
212,7/21/2024,Dining Out,41.06,2024-07,Sunday,Expense
226,7/21/2024,Transportation,29.36,2024-07,Sunday,Expense
201,7/22/2024,Groceries,44.38,2024-07,Monday,Expense
210,7/22/2024,Groceries,60.96,2024-07,Monday,Expense
208,7/24/2024,Groceries,103.22,2024-07,Wednesday,Expense
231,7/25/2024,Shopping,124.63,2024-07,Thursday,Expense
228,7/27/2024,Entertainment,58.84,2024-07,Saturday,Expense
221,7/28/2024,Dining Out,42.25,2024-07,Sunday,Expense
222,7/28/2024,Dining Out,60.59,2024-07,Sunday,Expense
219,7/28/2024,Dining Out,27.34,2024-07,Sunday,Expense
213,7/28/2024,Dining Out,42.33,2024-07,Sunday,Expense
207,7/28/2024,Groceries,72.12,2024-07,Sunday,Expense
232,7/28/2024,Shopping,108.4,2024-07,Sunday,Expense
766,7/29/2024,Income,2600,2024-07,Monday,Income
253,8/2/2024,Shopping,89.06,2024-08,Friday,Expense
241,8/2/2024,Groceries,59.19,2024-08,Friday,Expense
257,8/2/2024,Health/Fitness,25.68,2024-08,Friday,Expense
236,8/4/2024,Utilities,139.85,2024-08,Sunday,Expense
235,8/4/2024,Rent,1450,2024-08,Sunday,Expense
237,8/4/2024,Subscriptions,47.02,2024-08,Sunday,Expense
242,8/6/2024,Groceries,106.1,2024-08,Tuesday,Expense
238,8/7/2024,Groceries,42.97,2024-08,Wednesday,Expense
252,8/7/2024,Shopping,42.57,2024-08,Wednesday,Expense
251,8/10/2024,Entertainment,77.48,2024-08,Saturday,Expense
244,8/10/2024,Dining Out,13.49,2024-08,Saturday,Expense
767,8/12/2024,Income,2600,2024-08,Monday,Income
240,8/13/2024,Groceries,79.95,2024-08,Tuesday,Expense
245,8/14/2024,Dining Out,32.13,2024-08,Wednesday,Expense
248,8/18/2024,Transportation,38.32,2024-08,Sunday,Expense
256,8/18/2024,Health/Fitness,5,2024-08,Sunday,Expense
254,8/19/2024,Shopping,15.48,2024-08,Monday,Expense
249,8/22/2024,Transportation,36.69,2024-08,Thursday,Expense
250,8/23/2024,Transportation,49.21,2024-08,Friday,Expense
255,8/24/2024,Health/Fitness,95.71,2024-08,Saturday,Expense
246,8/24/2024,Dining Out,35.86,2024-08,Saturday,Expense
768,8/26/2024,Income,2600,2024-08,Monday,Income
243,8/26/2024,Dining Out,26.61,2024-08,Monday,Expense
247,8/26/2024,Transportation,5.76,2024-08,Monday,Expense
239,8/28/2024,Groceries,74.75,2024-08,Wednesday,Expense
260,9/1/2024,Subscriptions,39.59,2024-09,Sunday,Expense
259,9/1/2024,Utilities,123.84,2024-09,Sunday,Expense
267,9/2/2024,Groceries,65.55,2024-09,Monday,Expense
271,9/3/2024,Dining Out,28.8,2024-09,Tuesday,Expense
269,9/3/2024,Groceries,57.77,2024-09,Tuesday,Expense
258,9/3/2024,Rent,1450,2024-09,Tuesday,Expense
273,9/3/2024,Transportation,47.92,2024-09,Tuesday,Expense
266,9/6/2024,Groceries,83.83,2024-09,Friday,Expense
272,9/8/2024,Dining Out,22.57,2024-09,Sunday,Expense
769,9/9/2024,Income,2600,2024-09,Monday,Income
282,9/10/2024,Health/Fitness,80.19,2024-09,Tuesday,Expense
279,9/11/2024,Transportation,31.53,2024-09,Wednesday,Expense
274,9/14/2024,Transportation,43.11,2024-09,Saturday,Expense
262,9/16/2024,Groceries,51.63,2024-09,Monday,Expense
263,9/17/2024,Groceries,92.91,2024-09,Tuesday,Expense
268,9/17/2024,Groceries,67.55,2024-09,Tuesday,Expense
278,9/17/2024,Transportation,28.57,2024-09,Tuesday,Expense
265,9/17/2024,Groceries,26.72,2024-09,Tuesday,Expense
277,9/19/2024,Transportation,54,2024-09,Thursday,Expense
261,9/19/2024,Groceries,57.24,2024-09,Thursday,Expense
276,9/19/2024,Transportation,64.29,2024-09,Thursday,Expense
281,9/21/2024,Shopping,56.9,2024-09,Saturday,Expense
280,9/22/2024,Shopping,28.93,2024-09,Sunday,Expense
275,9/22/2024,Transportation,70.65,2024-09,Sunday,Expense
770,9/23/2024,Income,2600,2024-09,Monday,Income
270,9/28/2024,Groceries,60.23,2024-09,Saturday,Expense
264,9/28/2024,Groceries,38.81,2024-09,Saturday,Expense
286,10/1/2024,Groceries,74.76,2024-10,Tuesday,Expense
285,10/1/2024,Subscriptions,48.86,2024-10,Tuesday,Expense
321,10/2/2024,Shopping,19.37,2024-10,Wednesday,Expense
298,10/3/2024,Dining Out,31.25,2024-10,Thursday,Expense
322,10/3/2024,Shopping,5,2024-10,Thursday,Expense
284,10/3/2024,Utilities,167.66,2024-10,Thursday,Expense
291,10/3/2024,Groceries,76.77,2024-10,Thursday,Expense
307,10/4/2024,Dining Out,48.39,2024-10,Friday,Expense
309,10/4/2024,Transportation,44.3,2024-10,Friday,Expense
290,10/4/2024,Groceries,53.11,2024-10,Friday,Expense
283,10/4/2024,Rent,1450,2024-10,Friday,Expense
308,10/5/2024,Dining Out,36.43,2024-10,Saturday,Expense
296,10/5/2024,Groceries,20.84,2024-10,Saturday,Expense
312,10/5/2024,Transportation,62.65,2024-10,Saturday,Expense
771,10/7/2024,Income,2600,2024-10,Monday,Income
316,10/7/2024,Transportation,59.3,2024-10,Monday,Expense
293,10/7/2024,Groceries,58.62,2024-10,Monday,Expense
295,10/9/2024,Groceries,85.7,2024-10,Wednesday,Expense
313,10/9/2024,Transportation,46.03,2024-10,Wednesday,Expense
306,10/10/2024,Dining Out,47.35,2024-10,Thursday,Expense
314,10/10/2024,Transportation,34.79,2024-10,Thursday,Expense
299,10/12/2024,Dining Out,54.52,2024-10,Saturday,Expense
297,10/12/2024,Dining Out,40.41,2024-10,Saturday,Expense
324,10/14/2024,Health/Fitness,53.88,2024-10,Monday,Expense
287,10/15/2024,Groceries,96.6,2024-10,Tuesday,Expense
294,10/17/2024,Groceries,75.87,2024-10,Thursday,Expense
319,10/17/2024,Entertainment,5,2024-10,Thursday,Expense
292,10/18/2024,Groceries,58.63,2024-10,Friday,Expense
301,10/18/2024,Dining Out,50.77,2024-10,Friday,Expense
311,10/18/2024,Transportation,27.74,2024-10,Friday,Expense
289,10/19/2024,Groceries,67.27,2024-10,Saturday,Expense
315,10/20/2024,Transportation,52.44,2024-10,Sunday,Expense
288,10/20/2024,Groceries,62.6,2024-10,Sunday,Expense
302,10/20/2024,Dining Out,22.35,2024-10,Sunday,Expense
323,10/21/2024,Health/Fitness,123.37,2024-10,Monday,Expense
304,10/21/2024,Dining Out,35.24,2024-10,Monday,Expense
318,10/21/2024,Entertainment,50.17,2024-10,Monday,Expense
772,10/21/2024,Income,2600,2024-10,Monday,Income
305,10/22/2024,Dining Out,31.41,2024-10,Tuesday,Expense
317,10/23/2024,Transportation,33.33,2024-10,Wednesday,Expense
310,10/24/2024,Transportation,23.63,2024-10,Thursday,Expense
303,10/26/2024,Dining Out,11.3,2024-10,Saturday,Expense
300,10/27/2024,Dining Out,5,2024-10,Sunday,Expense
320,10/28/2024,Shopping,66.24,2024-10,Monday,Expense
327,11/1/2024,Subscriptions,46.08,2024-11,Friday,Expense
326,11/1/2024,Utilities,154.76,2024-11,Friday,Expense
345,11/2/2024,Transportation,33.62,2024-11,Saturday,Expense
325,11/3/2024,Rent,1450,2024-11,Sunday,Expense
339,11/3/2024,Dining Out,37.31,2024-11,Sunday,Expense
773,11/4/2024,Income,2600,2024-11,Monday,Income
330,11/5/2024,Groceries,90.57,2024-11,Tuesday,Expense
341,11/5/2024,Dining Out,39.32,2024-11,Tuesday,Expense
333,11/6/2024,Groceries,103.7,2024-11,Wednesday,Expense
346,11/8/2024,Entertainment,40.75,2024-11,Friday,Expense
332,11/9/2024,Groceries,74.8,2024-11,Saturday,Expense
328,11/11/2024,Groceries,88.61,2024-11,Monday,Expense
347,11/12/2024,Entertainment,32.54,2024-11,Tuesday,Expense
342,11/12/2024,Dining Out,39.17,2024-11,Tuesday,Expense
338,11/14/2024,Groceries,93.08,2024-11,Thursday,Expense
335,11/15/2024,Groceries,98.45,2024-11,Friday,Expense
336,11/18/2024,Groceries,22.3,2024-11,Monday,Expense
774,11/18/2024,Income,2600,2024-11,Monday,Income
349,11/20/2024,Health/Fitness,40.31,2024-11,Wednesday,Expense
331,11/21/2024,Groceries,63.89,2024-11,Thursday,Expense
337,11/23/2024,Groceries,72.48,2024-11,Saturday,Expense
340,11/23/2024,Dining Out,21.74,2024-11,Saturday,Expense
350,11/24/2024,Health/Fitness,50.82,2024-11,Sunday,Expense
334,11/24/2024,Groceries,64.01,2024-11,Sunday,Expense
329,11/25/2024,Groceries,138.93,2024-11,Monday,Expense
343,11/26/2024,Transportation,29.69,2024-11,Tuesday,Expense
344,11/28/2024,Transportation,57.3,2024-11,Thursday,Expense
348,11/28/2024,Entertainment,22.23,2024-11,Thursday,Expense
358,12/1/2024,Groceries,81.46,2024-12,Sunday,Expense
374,12/1/2024,Shopping,81.81,2024-12,Sunday,Expense
775,12/2/2024,Income,2600,2024-12,Monday,Income
353,12/2/2024,Subscriptions,38.8,2024-12,Monday,Expense
367,12/2/2024,Dining Out,31.83,2024-12,Monday,Expense
352,12/2/2024,Utilities,88.04,2024-12,Monday,Expense
351,12/2/2024,Rent,1450,2024-12,Monday,Expense
359,12/6/2024,Groceries,80.69,2024-12,Friday,Expense
356,12/6/2024,Groceries,101.14,2024-12,Friday,Expense
369,12/7/2024,Transportation,106.35,2024-12,Saturday,Expense
376,12/7/2024,Shopping,97.62,2024-12,Saturday,Expense
368,12/8/2024,Transportation,23.93,2024-12,Sunday,Expense
373,12/8/2024,Entertainment,54.75,2024-12,Sunday,Expense
361,12/11/2024,Groceries,99.83,2024-12,Wednesday,Expense
377,12/13/2024,Health/Fitness,94.77,2024-12,Friday,Expense
357,12/14/2024,Groceries,104.96,2024-12,Saturday,Expense
363,12/14/2024,Dining Out,30.72,2024-12,Saturday,Expense
371,12/15/2024,Entertainment,21.88,2024-12,Sunday,Expense
776,12/16/2024,Income,2600,2024-12,Monday,Income
375,12/22/2024,Shopping,95.31,2024-12,Sunday,Expense
365,12/24/2024,Dining Out,33.43,2024-12,Tuesday,Expense
360,12/24/2024,Groceries,107.16,2024-12,Tuesday,Expense
354,12/26/2024,Groceries,119.53,2024-12,Thursday,Expense
364,12/26/2024,Dining Out,75.53,2024-12,Thursday,Expense
372,12/26/2024,Entertainment,102.29,2024-12,Thursday,Expense
362,12/26/2024,Groceries,120.02,2024-12,Thursday,Expense
355,12/26/2024,Groceries,79.27,2024-12,Thursday,Expense
370,12/27/2024,Transportation,34.2,2024-12,Friday,Expense
366,12/28/2024,Dining Out,95.51,2024-12,Saturday,Expense
777,12/30/2024,Income,2600,2024-12,Monday,Income
380,1/1/2025,Subscriptions,42.91,2025-01,Wednesday,Expense
378,1/3/2025,Rent,1450,2025-01,Friday,Expense
379,1/3/2025,Utilities,124.43,2025-01,Friday,Expense
401,1/7/2025,Transportation,54.81,2025-01,Tuesday,Expense
382,1/9/2025,Groceries,76.04,2025-01,Thursday,Expense
404,1/11/2025,Shopping,92.18,2025-01,Saturday,Expense
406,1/11/2025,Shopping,100.77,2025-01,Saturday,Expense
402,1/12/2025,Entertainment,29.3,2025-01,Sunday,Expense
383,1/12/2025,Groceries,105.11,2025-01,Sunday,Expense
778,1/13/2025,Income,2600,2025-01,Monday,Income
386,1/13/2025,Groceries,75.54,2025-01,Monday,Expense
391,1/14/2025,Dining Out,37.98,2025-01,Tuesday,Expense
394,1/17/2025,Dining Out,55.12,2025-01,Friday,Expense
385,1/17/2025,Groceries,55.62,2025-01,Friday,Expense
395,1/18/2025,Transportation,26.74,2025-01,Saturday,Expense
392,1/19/2025,Dining Out,43.72,2025-01,Sunday,Expense
405,1/20/2025,Shopping,5,2025-01,Monday,Expense
389,1/20/2025,Dining Out,5,2025-01,Monday,Expense
384,1/21/2025,Groceries,79.35,2025-01,Tuesday,Expense
400,1/22/2025,Transportation,14.66,2025-01,Wednesday,Expense
387,1/22/2025,Groceries,97.41,2025-01,Wednesday,Expense
403,1/22/2025,Shopping,11.49,2025-01,Wednesday,Expense
396,1/22/2025,Transportation,49.11,2025-01,Wednesday,Expense
407,1/22/2025,Travel,285.11,2025-01,Wednesday,Expense
393,1/23/2025,Dining Out,23.02,2025-01,Thursday,Expense
398,1/24/2025,Transportation,39.92,2025-01,Friday,Expense
399,1/24/2025,Transportation,30.12,2025-01,Friday,Expense
390,1/24/2025,Dining Out,29.78,2025-01,Friday,Expense
397,1/24/2025,Transportation,17.21,2025-01,Friday,Expense
381,1/25/2025,Groceries,32.41,2025-01,Saturday,Expense
779,1/27/2025,Income,2600,2025-01,Monday,Income
388,1/27/2025,Dining Out,58.56,2025-01,Monday,Expense
